Sector;Dataset;SplitYear;ACC__global_on_sector_test;ACC__sector_only;AUC__global_on_sector_test;AUC__sector_only;BS__global_on_sector_test;BS__sector_only;CV_ACC_Mean__global_on_sector_test;CV_ACC_Mean__sector_only;CV_AUC_Mean__global_on_sector_test;CV_AUC_Mean__sector_only;KS__global_on_sector_test;KS__sector_only;Delta_AUC_global_minus_sector;Delta_ACC_global_minus_sector;Delta_KS_global_minus_sector;Delta_BS_global_minus_sector
Industrials;dataset21;2015;0.8441558441558441;0.8344155844155844;0.9137254901960783;0.9171832173729706;0.12106805294752121;0.12922357022762299;0.8646601941747573;0.8294509679466836;0.9363121877651052;0.9023728331912476;0.7083280624077588;0.668269028041324;-0.0034577271768923;0.009740259740259716;0.040059034366434765;-0.008155517280101776
Industrials;dataset22;2015;0.5059760956175299;0.5258964143426295;0.5550380477564943;0.5308318026764628;0.2919618785381317;0.3321450650691986;0.574421115317821;0.4905405405405405;0.6012027278053443;0.5172023374726077;0.1544214117029651;0.11676725268958277;0.024206245080031552;-0.019920318725099584;0.03765415901338234;-0.040183186531066895
Industrials;dataset23;2015;0.5306122448979592;0.5153061224489796;0.5383807623648011;0.47831565683083066;0.29209083318710327;0.3546394407749176;0.5387029827025118;0.5091673032849504;0.5575391065181486;0.5159115320769456;0.09849837236165082;0.055129686023311975;0.060065105533970486;0.015306122448979664;0.04336868633833885;-0.06254860758781433
Industrials;dataset31;2015;0.8762376237623762;0.8811881188118812;0.9368431792674216;0.9405162738496072;0.0974154993891716;0.10018235445022583;0.8767469869818292;0.8757183908045978;0.9451688920326236;0.9403512387958735;0.7669115396388124;0.7771655953474135;-0.0036730945821856764;-0.004950495049504955;-0.01025405570860105;-0.0027668550610542297
Industrials;dataset32;2015;0.6099071207430341;0.5758513931888545;0.6874732058647004;0.6739689616736689;0.248841792345047;0.2845306098461151;0.6501016654862808;0.6352437106918238;0.7084736047097998;0.6958180379746836;0.3191288690731373;0.2992369030266656;0.013504244191031467;0.03405572755417963;0.0198919660464717;-0.035688817501068115
Industrials;dataset33;2015;0.5394190871369294;0.6058091286307054;0.6063612489057485;0.5986285380799534;0.27652356028556824;0.28964200615882874;0.6004708891164132;0.600253048079135;0.6440295599950734;0.6236476909007773;0.181645754304056;0.21206594689232566;0.007732710825795075;-0.06639004149377592;-0.030420192588269668;-0.013118445873260498
Industrials;dataset41;2015;0.8712871287128713;0.8613861386138614;0.9233537243612809;0.8783735156531125;0.11162835359573364;0.10900701582431793;0.9472222222222222;0.8590909090909091;0.9655864197530863;0.9055555555555557;0.8639798488664987;0.7135660309463836;0.044980208708168434;0.00990099009900991;0.1504138179201151;0.0026213377714157104
Industrials;dataset42;2015;0.7554179566563467;0.6377708978328174;0.8484126984126985;0.5464285714285714;0.19935593008995056;0.2713131606578827;0.8002351097178682;0.7653846153846153;0.8456491447241976;0.7857142857142858;0.5829365079365079;0.27936507936507937;0.30198412698412713;0.11764705882352933;0.3035714285714285;-0.07195723056793213
Industrials;dataset43;2015;0.7427385892116183;0.7385892116182573;0.8711843711843712;0.6361416361416361;0.20907530188560486;0.18749016523361206;0.7622222222222222;0.689010989010989;0.8399012345679013;0.7333333333333332;0.663003663003663;0.3553113553113553;0.2350427350427351;0.004149377593360981;0.30769230769230765;0.021585136651992798
Real Estate;dataset11;2015;0.9471544715447154;0.943089430894309;0.9773862375138734;0.9752358490566038;0.04901070147752762;0.05672817677259445;0.9298873101420873;0.8954248366013072;0.9610590966968766;0.9209876543209876;0.9481132075471698;0.9150943396226415;0.0021503884572696697;0.004065040650406471;0.03301886792452824;-0.0077174752950668335
Real Estate;dataset12;2015;0.7708333333333334;0.8020833333333334;0.8890625;0.8572265625000001;0.1728290319442749;0.15184831619262695;0.8114942528735632;0.72;0.884502576298058;0.8002222222222223;0.64375;0.65625;0.03183593749999991;-0.03125;-0.012499999999999956;0.02098071575164795
Real Estate;dataset13;2015;0.75177304964539;0.8156028368794326;0.8486029889538661;0.8323586744639375;0.19063273072242737;0.15245357155799866;0.7662921348314606;0.6636363636363637;0.8275217775533392;0.7256198347107438;0.6003898635477583;0.6461988304093568;0.01624431448992858;-0.06382978723404253;-0.04580896686159852;0.03817915916442871
Real Estate;dataset21;2015;0.8155339805825242;0.8009708737864077;0.9031588873173031;0.8925978312116927;0.13078348338603973;0.14497628808021545;0.8646601941747573;0.8355932203389831;0.9363121877651052;0.9158850574712645;0.6617633191890617;0.6366808109382367;0.010561056105610422;0.014563106796116498;0.02508250825082503;-0.01419280469417572
