ModelxMeasure;TP;TN;FP;FN;TError_I;TError_II;ACC;SENS;SPEC;BS;AUC;KS;CV_ACC_Mean;CV_AUC_Mean;Sector;Dataset;ModelScope;SplitYear;TrainRows;TestRows;TrainRowsUsed;TestRowsScored
XGB;88.0;80.0;100.0;77.0;55.56;46.67;0.48695652173913045;0.5333333333333333;0.4444444444444444;0.30882275104522705;0.47151515151515144;0.03737373737373739;0.574421115317821;0.6012027278053443;Consumer Non-Cyclicals;dataset22;global_on_sector_test;2015;5731;345;5482;345
XGB;116.0;124.0;129.0;60.0;50.99;34.09;0.5594405594405595;0.6590909090909091;0.4901185770750988;0.3235276937484741;0.6036201940352137;0.24530632411067188;0.6558118865445552;0.7185921059441026;Consumer Non-Cyclicals;dataset32;sector_only;2015;1460;429;1136;429
XGB;119.0;129.0;124.0;57.0;49.01;32.39;0.578088578088578;0.6761363636363636;0.5098814229249012;0.25772222876548767;0.6475251527128997;0.28631422924901184;0.6501016654862808;0.7084736047097998;Consumer Non-Cyclicals;dataset32;global_on_sector_test;2015;7080;429;5916;429
XGB;3.0;300.0;125.0;1.0;29.41;25.0;0.7062937062937062;0.75;0.7058823529411765;0.2307192087173462;0.7752941176470588;0.6211764705882352;0.8279411764705882;0.8802083333333333;Consumer Non-Cyclicals;dataset42;sector_only;2015;1460;429;82;429
XGB;4.0;333.0;92.0;0.0;21.65;0.0;0.7855477855477856;1.0;0.7835294117647059;0.1737808734178543;0.8905882352941177;0.8070588235294118;0.8002351097178682;0.8456491447241976;Consumer Non-Cyclicals;dataset42;global_on_sector_test;2015;7080;429;436;429
XGB;4.0;253.0;50.0;8.0;16.5;66.67;0.8158730158730159;0.3333333333333333;0.834983498349835;0.13739483058452606;0.7585258525852585;0.5742574257425743;0.7634278002699055;0.8386703601108032;Consumer Non-Cyclicals;dataset13;sector_only;2015;1450;315;194;315
XGB;8.0;230.0;73.0;4.0;24.09;33.33;0.7555555555555555;0.6666666666666666;0.759075907590759;0.1864430010318756;0.8025302530253026;0.5173267326732673;0.7662921348314606;0.8275217775533392;Consumer Non-Cyclicals;dataset13;global_on_sector_test;2015;7054;315;890;315
XGB;72.0;72.0;55.0;59.0;43.31;45.04;0.5581395348837209;0.549618320610687;0.5669291338582677;0.3135558068752289;0.5403017370920238;0.14185249744545292;0.4825242718446602;0.4852295221038741;Consumer Non-Cyclicals;dataset23;sector_only;2015;1158;258;1030;258
XGB;73.0;58.0;69.0;58.0;54.33;44.27;0.5077519379844961;0.5572519083969466;0.4566929133858268;0.2884540557861328;0.5124120935264771;0.07898058544208686;0.5387029827025118;0.5575391065181486;Consumer Non-Cyclicals;dataset23;global_on_sector_test;2015;5903;258;5452;258
XGB;83.0;92.0;83.0;57.0;47.43;40.71;0.5555555555555556;0.5928571428571429;0.5257142857142857;0.3072572350502014;0.6054693877551021;0.18714285714285717;0.5832184172220946;0.635362586481459;Consumer Non-Cyclicals;dataset33;sector_only;2015;1455;315;1142;315
XGB;85.0;99.0;76.0;55.0;43.43;39.29;0.5841269841269842;0.6071428571428571;0.5657142857142857;0.25848188996315;0.6166530612244897;0.2342857142857142;0.6004708891164132;0.6440295599950734;Consumer Non-Cyclicals;dataset33;global_on_sector_test;2015;7065;315;5892;315
